AOA,Weight,Gravity,Pitch,TAS,IAS,Rho,Lift,Drag,Thrust[0],Thrust[1],Cl,Cd
1.896572,64067.93359,9.793585,1.795201,152.483109,273.579468,1.05514,623307.375,37502.39844,62162.36719,0,0.330671,0.019895
1.895025,64067.89453,9.793585,1.793646,152.513123,273.634766,1.055141,623272.4375,37509.22656,62161.74219,0,0.330523,0.019891
1.893373,64067.85547,9.793585,1.791998,152.544754,273.693085,1.055141,623374.875,37518.4375,62160.64453,0,0.33044,0.019888
1.891867,64067.80859,9.793585,1.790478,152.57399,273.746918,1.055141,623227.1875,37523.13281,62160.24609,0,0.330235,0.019883
1.890433,64067.76563,9.793585,1.789039,152.601715,273.797943,1.055141,623299.1875,37531.94922,62159.62891,837.546875,0.330153,0.01988
1.888881,64067.73047,9.793585,1.787485,152.631516,273.852875,1.055142,623330.1875,37539.80469,62158.76563,0,0.33004,0.019877
1.887386,64067.68359,9.793585,1.78598,152.66037,273.906006,1.055142,623281.375,37545.55078,62157.97656,2.72008E+23,0.32989,0.019872
1.885741,64067.64844,9.793585,1.78432,152.692352,273.965027,1.055142,623241.75,37551.18359,62157.14063,0,0.32973,0.019867
1.884212,64067.60156,9.793585,1.782782,152.722046,274.019714,1.055142,623291.125,37560.99609,62156.34766,-2,0.329628,0.019864
1.882743,64067.55859,9.793585,1.781302,152.750671,274.072388,1.055143,623273.125,37567.67578,62155.83594,62156.34766,0.329495,0.01986
1.881103,64067.52344,9.793585,1.779651,152.782715,274.1315,1.055143,623278.375,37574.53516,62154.76953,0,0.32936,0.019856
1.879641,64067.47266,9.793585,1.778181,152.811234,274.18399,1.055143,623299.5625,37583.69922,62154.32813,0,0.329248,0.019853
1.878087,64067.4375,9.793585,1.77661,152.841888,274.240448,1.055143,623240.625,37588.92188,62153.38672,0,0.329084,0.019848
1.876471,64067.39453,9.793585,1.774979,152.873901,274.2995,1.055144,623267.9375,37596.82031,62152.57813,0,0.328961,0.019844
1.874985,64067.34766,9.793585,1.773483,152.903259,274.353638,1.055144,623294.875,37606.58984,62152.00781,534.8125,0.328849,0.019841
